lower;upper; score 
-9;0,00682491152337; 0     
0,00682491152337;0,25517248459959; 0,01   
0,25517248459959;0,42644421629021; 0,02   
0,42644421629021;0,52800000000000; 0,03   
0,52800000000000;0,62606669922620; 0,04   
0,62606669922620;0,71841683778234; 0,05   
0,71841683778234;0,79747976216074; 0,06   
0,79747976216074;0,86719719022798; 0,07   
0,86719719022798;0,93540446734257; 0,08   
0,93540446734257;0,99743569720517; 0,09   
0,99743569720517;1,05644136461612; 0,10   
1,05644136461612;1,11178850102669; 0,11   
1,11178850102669;1,16491548776554; 0,12   
1,16491548776554;1,21497947764984; 0,13   
1,21497947764984;1,26337234770705; 0,14   
1,26337234770705;1,31098357289528; 0,15   
1,31098357289528;1,35594425539769; 0,16   
1,35594425539769;1,39853440091212; 0,17   
1,39853440091212;1,44326557152635; 0,18   
1,44326557152635;1,48242820392229; 0,19   
1,48242820392229;1,52256588071005; 0,20   
1,52256588071005;1,56152156057495; 0,21   
1,56152156057495;1,59639356605065; 0,22   
1,59639356605065;1,62873019815680; 0,23   
1,62873019815680;1,65829879366014; 0,24   
1,65829879366014;1,68625598904860; 0,25   
1,68625598904860;1,71410362361589; 0,26   
1,71410362361589;1,74273541275240; 0,27   
1,74273541275240;1,77019932177062; 0,28   
1,77019932177062;1,79554358928805; 0,29   
1,79554358928805;1,82006529167452; 0,30   
1,82006529167452;1,84294640084581; 0,31   
1,84294640084581;1,86970773442847; 0,32   
1,86970773442847;1,89359866800645; 0,33   
1,89359866800645;1,91834839151266; 0,34   
1,91834839151266;1,93980287474333; 0,35   
1,93980287474333;1,96209779289101; 0,36   
1,96209779289101;1,98364231744971; 0,37   
1,98364231744971;2,00529836453809; 0,38   
2,00529836453809;2,02630595482546; 0,39   
2,02630595482546;2,04530390166665; 0,40   
2,04530390166665;2,06497551622803; 0,41   
2,06497551622803;2,08408692676249; 0,42   
2,08408692676249;2,10158726899384; 0,43   
2,10158726899384;2,12011401443588; 0,44   
2,12011401443588;2,13746899353354; 0,45   
2,13746899353354;2,15409993155373; 0,46   
2,15409993155373;2,17120260095825; 0,47   
2,17120260095825;2,18879397672827; 0,48   
2,18879397672827;2,20531493989229; 0,49   
2,20531493989229;2,22155781946562; 0,50   
2,22155781946562;2,23794387405886; 0,51   
2,23794387405886;2,25459000684463; 0,52   
2,25459000684463;2,26986994539238; 0,53   
2,26986994539238;2,28584851075642; 0,54   
2,28584851075642;2,30162732740790; 0,55   
2,30162732740790;2,31696919917864; 0,56   
2,31696919917864;2,33282896972216; 0,57   
2,33282896972216;2,34861450304813; 0,58   
2,34861450304813;2,36331553730322; 0,59   
2,36331553730322;2,37780195893306; 0,60   
2,37780195893306;2,39252380738424; 0,61   
2,39252380738424;2,40756854227206; 0,62   
2,40756854227206;2,42268737066161; 0,63   
2,42268737066161;2,43682135523614; 0,64   
2,43682135523614;2,45165451080017; 0,65   
2,45165451080017;2,46748528405202; 0,66   
2,46748528405202;2,48262748139397; 0,67   
2,48262748139397;2,49769079704463; 0,68   
2,49769079704463;2,51385299617313; 0,69   
2,51385299617313;2,52929625954951; 0,70   
2,52929625954951;2,54563659986857; 0,71   
2,54563659986857;2,56120977854256; 0,72   
2,56120977854256;2,57686541354364; 0,73   
2,57686541354364;2,59211783384010; 0,74   
2,59211783384010;2,60973648186174; 0,75   
2,60973648186174;2,62596744823372; 0,76   
2,62596744823372;2,64285535448054; 0,77   
2,64285535448054;2,66020333984189; 0,78   
2,66020333984189;2,67852078607732; 0,79   
2,67852078607732;2,69696530356143; 0,80   
2,69696530356143;2,71447292991518; 0,81   
2,71447292991518;2,73300330727269; 0,82   
2,73300330727269;2,75362563019026; 0,83   
2,75362563019026;2,77226458905137; 0,84   
2,77226458905137;2,79255784718450; 0,85   
2,79255784718450;2,81251711523164; 0,86   
2,81251711523164;2,83339062828743; 0,87   
2,83339062828743;2,85457287776698; 0,88   
2,85457287776698;2,87634731083701; 0,89   
2,87634731083701;2,89917711327677; 0,90   
2,89917711327677;2,92330514052708; 0,91   
2,92330514052708;2,94880799599907; 0,92   
2,94880799599907;2,97558793961851; 0,93   
2,97558793961851;3,00407508815973; 0,94   
3,00407508815973;3,03436470966840; 0,95   
3,03436470966840;3,06684556541872; 0,96   
3,06684556541872;3,10857804531436; 0,97   
3,10857804531436;3,16043234446397; 0,98   
3,16043234446397;3,23886579436691; 0,99   
3,23886579436691;3,69876738752181; 1,00   
3,69876738752181;99999; 1,00   
