lower;upper;score
0,00000000000000;0,46860138372279;0,00
0,46860138372279;0,54772650229229;0,01
0,54772650229229;0,56990089594919;0,02
0,56990089594919;0,58615020482335;0,03
0,58615020482335;0,59892865187317;0,04
0,59892865187317;0,61052209158973;0,05
0,61052209158973;0,62257274375930;0,06
0,62257274375930;0,63224215597969;0,07
0,63224215597969;0,64306285935641;0,08
0,64306285935641;0,65336039195483;0,09
0,65336039195483;0,66252777330813;0,10
0,66252777330813;0,67172543553281;0,11
0,67172543553281;0,68062839310717;0,12
0,68062839310717;0,68972190419835;0,13
0,68972190419835;0,69809868755917;0,14
0,69809868755917;0,70570300695842;0,15
0,70570300695842;0,71385829692759;0,16
0,71385829692759;0,71976738178654;0,17
0,71976738178654;0,72739967005385;0,18
0,72739967005385;0,73519993229892;0,19
0,73519993229892;0,74298992070754;0,20
0,74298992070754;0,75024879557643;0,21
0,75024879557643;0,75837021671171;0,22
0,75837021671171;0,76569389803631;0,23
0,76569389803631;0,77360582895649;0,24
0,77360582895649;0,78125177970367;0,25
0,78125177970367;0,78829885766770;0,26
0,78829885766770;0,79650744699608;0,27
0,79650744699608;0,80361353757203;0,28
0,80361353757203;0,81031193539327;0,29
0,81031193539327;0,81792159220319;0,30
0,81792159220319;0,82618480135927;0,31
0,82618480135927;0,83501732985781;0,32
0,83501732985781;0,84230525060704;0,33
0,84230525060704;0,85092030790742;0,34
0,85092030790742;0,85876943838663;0,35
0,85876943838663;0,86731521367327;0,36
0,86731521367327;0,87575684565821;0,37
0,87575684565821;0,88411971613120;0,38
0,88411971613120;0,89311207681776;0,39
0,89311207681776;0,90221286003415;0,40
0,90221286003415;0,91131560838262;0,41
0,91131560838262;0,92076245196748;0,42
0,92076245196748;0,92988830701999;0,43
0,92988830701999;0,93923196140935;0,44
0,93923196140935;0,94947241619501;0,45
0,94947241619501;0,95923345291634;0,46
0,95923345291634;0,96905607480885;0,47
0,96905607480885;0,97824727838090;0,48
0,97824727838090;0,99025499330285;0,49
0,99025499330285;1,00000000000000;0,50
1,00000000000000;1,01007562064291;0,51
1,01007562064291;1,01921752441643;0,52
1,01921752441643;1,02881453238912;0,53
1,02881453238912;1,03800977305515;0,54
1,03800977305515;1,04791324394198;0,55
1,04791324394198;1,05706817139015;0,56
1,05706817139015;1,06825577330017;0,57
1,06825577330017;1,07909292068104;0,58
1,07909292068104;1,09141956265166;0,59
1,09141956265166;1,09999672219161;0,60
1,09999672219161;1,11080391393688;0,61
1,11080391393688;1,12221813000493;0,62
1,12221813000493;1,13368932051996;0,63
1,13368932051996;1,14429371052401;0,64
1,14429371052401;1,15753597559217;0,65
1,15753597559217;1,16964607140541;0,66
1,16964607140541;1,18025533418713;0,67
1,18025533418713;1,19348452419748;0,68
1,19348452419748;1,20443141399037;0,69
1,20443141399037;1,21586724002674;0,70
1,21586724002674;1,23176586200235;0,71
1,23176586200235;1,24301166864953;0,72
1,24301166864953;1,25597127803007;0,73
1,25597127803007;1,27257600937140;0,74
1,27257600937140;1,28683820640162;0,75
1,28683820640162;1,30073202217987;0,76
1,30073202217987;1,31581362426416;0,77
1,31581362426416;1,33126178094698;0,78
1,33126178094698;1,34694787553781;0,79
1,34694787553781;1,36659903874694;0,80
1,36659903874694;1,38163447428428;0,81
1,38163447428428;1,40045502262285;0,82
1,40045502262285;1,41992946802423;0,83
1,41992946802423;1,43887160673530;0,84
1,43887160673530;1,45743668864137;0,85
1,45743668864137;1,47764203842318;0,86
1,47764203842318;1,50526234703184;0,87
1,50526234703184;1,53279121751067;0,88
1,53279121751067;1,56303149247707;0,89
1,56303149247707;1,59234408836217;0,90
1,59234408836217;1,62467403201088;0,91
1,62467403201088;1,66353889890320;0,92
1,66353889890320;1,69965824750626;0,93
1,69965824750626;1,74718723396496;0,94
1,74718723396496;1,80327994785367;0,95
1,80327994785367;1,86811518474388;0,96
1,86811518474388;1,95260269881656;0,97
1,95260269881656;2,07064882454551;0,98
2,07064882454551;2,25636520001513;0,99
2,25636520001513;3,29804939067918;1,00
3,29804939067918;999999999,00000000000000;1,00
